x_index,x_norm,x_m,y_index,y_norm,z_index,z_norm,rho,ux_lbm,uy_lbm,uz_lbm,speed_lbm,ux_mps_proxy,uy_mps_proxy,uz_mps_proxy,speed_mps_proxy,solid,fluid_mask
0,0.010416666666666666,0.0010416666666666667,24,0.5104166666666666,24,0.5104166666666666,1.0454071760177612,0.020251959562301636,-4.972483657184057e-05,-0.0017531657358631492,0.02032776176929474,10.125979781150818,-0.024862418285920285,-0.8765828679315746,10.16388088464737,0,True
1,0.03125,0.003125,24,0.5104166666666666,24,0.5104166666666666,1.0450077056884766,0.024020133540034294,-0.00010041276982519776,-0.0015967492945492268,0.02407335676252842,12.010066770017147,-0.05020638491259888,-0.7983746472746134,12.03667838126421,0,True
2,0.052083333333333336,0.005208333333333334,24,0.5104166666666666,24,0.5104166666666666,1.0444698333740234,0.025747025385499,-0.00010810965613927692,-0.00041013082955032587,0.02575051784515381,12.8735126927495,-0.05405482806963846,-0.20506541477516294,12.875258922576904,0,True
3,0.07291666666666667,0.007291666666666668,24,0.5104166666666666,24,0.5104166666666666,1.0439389944076538,0.026203764602541924,-9.820853301789612e-05,2.6521049221628346e-05,0.026203962042927742,13.101882301270962,-0.04910426650894806,0.013260524610814173,13.101981021463871,0,True
4,0.09375,0.009375000000000001,24,0.5104166666666666,24,0.5104166666666666,1.043406367301941,0.026160789653658867,-8.196195267373696e-05,0.00011798465857282281,0.026161184534430504,13.080394826829433,-0.04098097633686848,0.058992329286411405,13.080592267215252,0,True
5,0.11458333333333333,0.011458333333333334,24,0.5104166666666666,24,0.5104166666666666,1.0428526401519775,0.026092609390616417,-6.347641465254128e-05,0.00011280508624622598,0.026092931628227234,13.046304695308208,-0.03173820732627064,0.05640254312311299,13.046465814113617,0,True
6,0.13541666666666666,0.013541666666666667,24,0.5104166666666666,24,0.5104166666666666,1.04226815700531,0.025892755016684532,-4.4028965930920094e-05,8.956803503679112e-05,0.025892946869134903,12.946377508342266,-0.022014482965460047,0.04478401751839556,12.946473434567451,0,True
7,0.15625,0.015625,24,0.5104166666666666,24,0.5104166666666666,1.0416145324707031,0.025698956102132797,-2.43896538449917e-05,6.334085628623143e-05,0.02569904550909996,12.849478051066399,-0.01219482692249585,0.031670428143115714,12.84952275454998,0,True
8,0.17708333333333334,0.017708333333333336,24,0.5104166666666666,24,0.5104166666666666,1.040971279144287,0.02543775364756584,-6.316348390100757e-06,5.1346723921597004e-05,0.02543780580163002,12.71887682378292,-0.0031581741950503783,0.025673361960798502,12.71890290081501,0,True
9,0.19791666666666666,0.019791666666666666,24,0.5104166666666666,24,0.5104166666666666,1.040299892425537,0.02516443096101284,5.797602170787286e-06,4.6251901949290186e-05,0.025164475664496422,12.58221548050642,0.002898801085393643,0.023125950974645093,12.582237832248211,0,True
10,0.21875,0.021875000000000002,24,0.5104166666666666,24,0.5104166666666666,1.03966224193573,0.024876821786165237,1.0131423550774343e-05,7.378112786682323e-05,0.02487693540751934,12.438410893082619,0.005065711775387172,0.03689056393341161,12.43846770375967,0,True
11,0.23958333333333334,0.023958333333333335,24,0.5104166666666666,24,0.5104166666666666,1.0391236543655396,0.024581734091043472,1.3370372471399605e-05,0.0001182880878332071,0.024582020938396454,12.290867045521736,0.006685186235699803,0.05914404391660355,12.291010469198227,0,True
12,0.2604166666666667,0.02604166666666667,24,0.5104166666666666,24,0.5104166666666666,1.0386193990707397,0.024269597604870796,1.9859953681589104e-05,0.00011689825623761863,0.024269888177514076,12.134798802435398,0.009929976840794552,0.05844912811880931,12.134944088757038,0,True
13,0.28125,0.028125,24,0.5104166666666666,24,0.5104166666666666,1.037983775138855,0.023887259885668755,1.8242722944705747e-05,0.00011404842371121049,0.02388753928244114,11.943629942834377,0.009121361472352874,0.057024211855605245,11.94376964122057,0,True
14,0.3020833333333333,0.030208333333333334,24,0.5104166666666666,24,0.5104166666666666,1.0370317697525024,0.023359060287475586,7.561712322967651e-07,0.00011944991274503991,0.02335936576128006,11.679530143737793,0.00037808561614838254,0.059724956372519955,11.67968288064003,0,True
15,0.3229166666666667,0.03229166666666667,24,0.5104166666666666,24,0.5104166666666666,1.0360822677612305,0.022837528958916664,-7.031107088550925e-06,0.00011566899047465995,0.022837823256850243,11.418764479458332,-0.0035155535442754626,0.057834495237329975,11.418911628425121,0,True
16,0.34375,0.034375,24,0.5104166666666666,24,0.5104166666666666,1.035431146621704,0.022430967539548874,2.6571666239760816e-05,0.000122674711747095,0.02243131957948208,11.215483769774437,0.013285833119880408,0.061337355873547494,11.21565978974104,0,True
17,0.3645833333333333,0.036458333333333336,24,0.5104166666666666,24,0.5104166666666666,1.0350595712661743,0.02215498499572277,7.963744428707287e-05,0.00010616286454023793,0.022155383601784706,11.077492497861385,0.039818722143536434,0.05308143227011897,11.077691800892353,0,True
18,0.3854166666666667,0.03854166666666667,24,0.5104166666666666,24,0.5104166666666666,1.035342812538147,0.022165395319461823,9.094974666368216e-05,9.260488150175661e-05,0.022165773436427116,11.082697659730911,0.04547487333184108,0.046302440750878304,11.082886718213558,0,True
19,0.40625,0.040625,24,0.5104166666666666,24,0.5104166666666666,1.0354775190353394,0.021994296461343765,4.481418363866396e-05,0.00015873211668804288,0.02199491485953331,10.997148230671883,0.02240709181933198,0.07936605834402144,10.997457429766655,0,True
20,0.4270833333333333,0.042708333333333334,24,0.5104166666666666,24,0.5104166666666666,1.0331922769546509,0.020650846883654594,3.104431698375265e-06,0.00024005622253753245,0.02065224200487137,10.325423441827297,0.0015522158491876326,0.12002811126876622,10.326121002435684,0,True
21,0.4479166666666667,0.044791666666666674,24,0.5104166666666666,24,0.5104166666666666,1.0294609069824219,0.018676703795790672,3.349269900354557e-05,0.0002119533601216972,0.018677936866879463,9.338351897895336,0.016746349501772784,0.1059766800608486,9.338968433439732,0,True
22,0.46875,0.046875,24,0.5104166666666666,24,0.5104166666666666,1.028617262840271,0.018157996237277985,0.00012899226567242295,8.272207924164832e-05,0.018158642575144768,9.078998118638992,0.06449613283621147,0.04136103962082416,9.079321287572384,0,True
23,0.4895833333333333,0.04895833333333333,24,0.5104166666666666,24,0.5104166666666666,1.031708836555481,0.019632715731859207,0.0002168571954825893,2.405512350378558e-05,0.019633928313851357,9.816357865929604,0.10842859774129465,0.01202756175189279,9.816964156925678,0,True
24,0.5104166666666666,0.051041666666666666,24,0.5104166666666666,24,0.5104166666666666,1.034322738647461,0.020783226937055588,0.00023634525132365525,0.0001520553487353027,0.020785126835107803,10.391613468527794,0.11817262566182762,0.07602767436765134,10.392563417553902,0,True
25,0.53125,0.053125000000000006,24,0.5104166666666666,24,0.5104166666666666,1.0315306186676025,0.018995387479662895,0.00018728463328443468,0.00033688227995298803,0.01899929717183113,9.497693739831448,0.09364231664221734,0.16844113997649401,9.499648585915565,0,True
26,0.5520833333333334,0.05520833333333334,24,0.5104166666666666,24,0.5104166666666666,1.0232681035995483,0.014189177192747593,0.0001118859727284871,0.0003906124911736697,0.014194993302226067,7.0945885963737965,0.05594298636424355,0.19530624558683485,7.097496651113033,0,True
27,0.5729166666666666,0.057291666666666664,24,0.5104166666666666,24,0.5104166666666666,1.0137641429901123,0.008580395020544529,5.120158675708808e-05,0.00030143288313411176,0.008585840463638306,4.2901975102722645,0.02560079337854404,0.15071644156705588,4.292920231819153,0,True
28,0.59375,0.059375000000000004,24,0.5104166666666666,24,0.5104166666666666,1.006669521331787,0.004259191919118166,1.865661943156738e-05,0.00017379355267621577,0.004262777045369148,2.129595959559083,0.00932830971578369,0.08689677633810788,2.131388522684574,0,True
29,0.6145833333333334,0.06145833333333334,24,0.5104166666666666,24,0.5104166666666666,1.0027176141738892,0.0017753313295543194,6.276819931372302e-06,8.030948811210692e-05,0.0017771580023691058,0.8876656647771597,0.003138409965686151,0.04015474405605346,0.8885790011845529,0,True
30,0.6354166666666666,0.06354166666666666,24,0.5104166666666666,24,0.5104166666666666,1.0009503364562988,0.0006341830594465137,2.8564456897584023e-06,3.1007788493297994e-05,0.0006349470932036638,0.3170915297232568,0.0014282228448792011,0.015503894246648997,0.3174735466018319,0,True
31,0.65625,0.065625,24,0.5104166666666666,24,0.5104166666666666,1.000288963317871,0.00019685823644977063,2.150733735106769e-06,1.0234140063403174e-05,0.00019713581423275173,0.09842911822488531,0.0010753668675533845,0.005117070031701587,0.09856790711637586,0,True
32,0.6770833333333334,0.06770833333333334,24,0.5104166666666666,24,0.5104166666666666,1.0000770092010498,5.367171252146363e-05,2.037576905422611e-06,2.911090177803999e-06,5.378921196097508e-05,0.026835856260731816,0.0010187884527113056,0.0014555450889019994,0.02689460598048754,0,True
33,0.6979166666666666,0.06979166666666667,24,0.5104166666666666,24,0.5104166666666666,1.00001859664917,1.3205908544478007e-05,1.8924122286989586e-06,6.798528602303122e-07,1.3358122487261426e-05,0.006602954272239003,0.0009462061143494793,0.0003399264301151561,0.006679061243630713,0,True
34,0.71875,0.07187500000000001,24,0.5104166666666666,24,0.5104166666666666,1.0000046491622925,3.35833351527981e-06,1.6651970327075105e-06,1.1734609728364376e-07,3.7503407384065213e-06,0.001679166757639905,0.0008325985163537553,5.867304864182188e-05,0.0018751703692032606,0,True
35,0.7395833333333334,0.07395833333333333,24,0.5104166666666666,24,0.5104166666666666,1.0000020265579224,1.3466897144098766e-06,1.4342338090500562e-06,9.313207094407971e-09,1.9674062059493735e-06,0.0006733448572049383,0.0007171169045250281,4.656603547203986e-06,0.0009837031029746868,0,True
36,0.7604166666666666,0.07604166666666667,24,0.5104166666666666,24,0.5104166666666666,1.0000015497207642,1.0281785307597602e-06,1.149250238086097e-06,-9.31321153530007e-09,1.5420811223521014e-06,0.0005140892653798801,0.0005746251190430485,-4.656605767650035e-06,0.0007710405611760507,0,True
37,0.78125,0.078125,24,0.5104166666666666,24,0.5104166666666666,1.0000019073486328,1.0356287702961708e-06,8.586777653363242e-07,-1.4901132772138226e-08,1.3453908422889072e-06,0.0005178143851480854,0.0004293388826681621,-7.450566386069113e-06,0.0006726954211444536,0,True
38,0.8020833333333334,0.08020833333333334,24,0.5104166666666666,24,0.5104166666666666,1.0000016689300537,9.443594990443671e-07,6.239851018108311e-07,-2.980227264970381e-08,1.132281113314093e-06,0.00047217974952218356,0.00031199255090541556,-1.4901136324851905e-05,0.0005661405566570465,0,True
39,0.8229166666666666,0.08229166666666667,24,0.5104166666666666,24,0.5104166666666666,1.0000014305114746,8.586781632402563e-07,3.539020667631121e-07,-3.539020809739668e-08,9.294230949308258e-07,0.0004293390816201281,0.00017695103338155604,-1.769510404869834e-05,0.0004647115474654129,0,True
40,0.84375,0.084375,24,0.5104166666666666,24,0.5104166666666666,1.0000011920928955,5.90457830185187e-07,1.396982156620652e-07,-1.8626429287849078e-09,6.067614890525874e-07,0.0002952289150925935,6.98491078310326e-05,-9.313214643924539e-07,0.0003033807445262937,0,True
41,0.8645833333333334,0.08645833333333335,24,0.5104166666666666,24,0.5104166666666666,1.0000008344650269,3.0733619382772304e-07,-4.656608965092346e-08,2.7939654145825443e-08,3.120970291092817e-07,0.00015366809691386152,-2.328304482546173e-05,1.3969827072912722e-05,0.00015604851455464086,0,True
42,0.8854166666666666,0.08854166666666667,24,0.5104166666666666,24,0.5104166666666666,1.0000004768371582,-5.587932960793296e-08,-1.2852245845351717e-07,2.6077019654735523e-08,1.425501068297308e-07,-2.793966480396648e-05,-6.426122922675859e-05,1.3038509827367761e-05,7.12750534148654e-05,0,True
43,0.90625,0.09062500000000001,24,0.5104166666666666,24,0.5104166666666666,1.0000003576278687,-4.731116973744065e-07,-1.9371502446574596e-07,4.842875611643649e-08,5.135226501806756e-07,-0.00023655584868720325,-9.685751223287298e-05,2.4214378058218244e-05,0.0002567613250903378,0,True
44,0.9270833333333334,0.09270833333333334,24,0.5104166666666666,24,0.5104166666666666,1.0000001192092896,-1.052394395628653e-06,-1.601874686230076e-07,3.5390254282674505e-08,1.065104015651741e-06,-0.0005261971978143265,-8.00937343115038e-05,1.7695127141337252e-05,0.0005325520078258705,0,True
45,0.9479166666666666,0.09479166666666666,24,0.5104166666666666,24,0.5104166666666666,1.0000003576278687,-1.579522518113663e-06,-9.499486708364202e-08,4.4703469370688254e-08,1.5830078154976945e-06,-0.0007897612590568315,-4.749743354182101e-05,2.2351734685344127e-05,0.0007915039077488473,0,True
46,0.96875,0.096875,24,0.5104166666666666,24,0.5104166666666666,1.0000003576278687,-2.0489089820330264e-06,-4.842875611643649e-08,7.450577932388569e-09,2.0494949239946436e-06,-0.0010244544910165132,-2.4214378058218244e-05,3.7252889661942845e-06,0.0010247474619973218,0,True
47,0.9895833333333334,0.09895833333333334,24,0.5104166666666666,24,0.5104166666666666,1.0000001192092896,-2.2947785964788636e-06,1.8626449271863521e-09,3.7252898543727042e-09,2.294782461831346e-06,-0.0011473892982394318,9.313224635931761e-07,1.8626449271863521e-06,0.001147391230915673,0,True
